Rank,Team,Date and Time,Top-1 Accuracy,Latency (ms),Score
1st,OnceForAll,2020-07-29 22:11:27,0.70825,8.505,0.767
2nd,OnceForAll,2020-07-28 21:56:43,0.74055,11.607,0.665
3rd,MAAX,2020-07-31 12:02:34,0.8697,67.956,0.581
4th,IronGroup,2020-07-27 2:30:10,0.6994,11.31,0.569
5th,IronGroup,2020-07-29 21:05:50,0.6994,11.708,0.551
6th,IronGroup,2020-07-28 7:41:38,0.6994,11.838,0.545
7th,imchinfei,2020-07-31 20:04:17,0.6918,12.312,0.505
8th,IronGroup,2020-07-21 11:31:41,0.6994,12.888,0.504
9th,beyondhtx,2020-07-31 20:08:18,0.6918,12.481,0.499
10th,MaoTai,2020-07-30 15:16:11,0.6918,12.832,0.486
11th,imchinfei,2020-07-30 15:14:59,0.6918,12.854,0.485
12th,MaoTai,2020-07-26 21:42:43,0.6918,12.972,0.481
13th,takujun,2020-07-29 13:13:24,0.6918,12.986,0.48
14th,IronGroup,2020-07-27 23:18:00,0.6994,13.626,0.479
15th,BH-DPU,2020-07-30 23:40:24,0.70445,14.042,0.479
16th,MaoTai,2020-07-25 10:27:26,0.6918,13.046,0.478
17th,cang_ict,2020-07-18 21:55:08,0.7136,15.138,0.473
18th,BH-DPU,2020-08-01 7:43:10,0.70445,14.416,0.468
19th,imchinfei,2020-07-29 12:53:24,0.6918,13.48,0.463
20th,cang_ict,2020-07-28 23:48:11,0.6867,13.239,0.458
21st,takujun,2020-07-28 12:24:47,0.6918,13.787,0.453
22nd,imchinfei,2020-07-26 10:55:51,0.6918,13.917,0.449
23rd,cang_ict,2020-07-15 2:04:08,0.7136,16.15,0.448
24th,cang_ict,2020-07-17 0:01:19,0.7136,16.196,0.447
25th,takujun,2020-07-30 15:17:01,0.6918,14.287,0.438
26th,imchinfei,2020-07-25 13:33:17,0.6918,14.669,0.427
27th,MAAX,2020-07-30 7:47:06,0.73575,20.876,0.423
28th,Jorlam,2020-07-21 10:44:40,0.7286,19.612,0.422
29th,BH-DPU,2020-07-31 23:48:22,0.70445,16.285,0.42
30th,Jorlam,2020-07-27 16:07:26,0.7216,19.125,0.411
31st,BH-DPU,2020-07-24 3:13:02,0.728,20.296,0.41
32nd,BH-DPU,2020-07-23 3:42:59,0.75125,26.339,0.404
33rd,BH-DPU,2020-07-22 7:19:39,0.728,21.476,0.394
34th,Jorlam,2020-07-29 15:19:14,0.7216,20.579,0.389
35th,cang_ict,2020-07-02 0:12:47,0.7129,19.144,0.388
36th,BH-DPU,2020-07-21 4:09:21,0.75125,28.89,0.384
37th,cang_ict,2020-07-27 23:34:49,0.6998,17.585,0.381
38th,cang_ict,2020-07-29 23:35:25,0.6913,16.844,0.373
39th,imchinfei,2020-07-28 12:14:41,0.71265,20.426,0.367
40th,cang_ict,2020-07-06 10:51:21,0.7129,21.664,0.351
41st,HKUEEElite,2020-07-01 0:00:21,0.7252,24.84,0.349
42nd,cang_ict,2020-07-14 23:54:05,0.7148,22.491,0.346
43rd,Jorlam,2020-07-19 16:04:15,0.7286,26.284,0.345
44th,cang_ict,2020-07-01 0:00:26,0.71205,22.595,0.338
45th,Jorlam,2020-07-18 10:40:24,0.7286,27.349,0.336
46th,IronGroup,2020-07-15 6:01:54,0.7858,107.189,0.325
47th,IronGroup,2020-07-22 23:09:12,0.7858,107.356,0.325
48th,Star,2020-07-26 23:18:22,0.7813,87.681,0.325
49th,BH-DPU,2020-07-16 10:09:20,0.75125,41.547,0.321
50th,BH-DPU,2020-07-15 1:33:05,0.7512,42.397,0.318
51st,Star,2020-07-25 11:25:04,0.7251,29.008,0.314
52nd,Star,2020-07-27 0:41:50,0.7251,28.997,0.314
53rd,IronGroup,2020-07-06 4:49:02,0.7858,136.275,0.313
54th,IronGroup,2020-07-06 4:27:23,0.7858,140.755,0.311
55th,IronGroup,2020-07-20 8:49:24,0.69905,22.015,0.31
56th,Star,2020-07-18 9:06:04,0.7813,114.877,0.309
57th,IronGroup,2020-07-04 23:09:23,0.7858,155.051,0.307
58th,IdeaLKim,2020-07-27 22:06:00,0.7813,126.131,0.304
59th,Star,2020-07-16 23:45:18,0.7813,138.608,0.3
60th,IdeaLKim,2020-07-29 2:54:59,0.7815,139.413,0.3
61st,IronGroup,2020-07-01 0:00:27,0.7858,195.489,0.299
62nd,Star,2020-07-17 10:31:41,0.7813,149.412,0.297
63rd,IronGroup,2020-07-17 23:09:06,0.6994,23.21,0.297
64th,IdeaLKim,2020-07-20 5:04:22,0.7843,201.116,0.295
65th,BoBoJi,2020-07-27 22:59:22,0.7131,27.658,0.292
66th,IdeaLKim,2020-07-22 21:25:07,0.7813,183.505,0.289
67th,BoBoJi,2020-07-23 23:33:34,0.7131,30.239,0.273
68th,BoBoJi,2020-07-04 9:52:50,0.7131,31.398,0.266
69th,Jorlam,2020-07-01 0:03:18,0.72505,40.169,0.256
70th,Lausang,2020-07-23 15:01:04,0.74155,70.866,0.235
71st,BH-DPU,2020-07-19 7:20:07,0.69745,33.572,0.212
72nd,imchinfei,2020-07-24 4:36:51,0.6918,31.153,0.211
73rd,IronGroup,2020-07-16 9:45:59,0.71,131.47,0.112
