Rank,Team,Date and Time,Energy,Accuracy,Performance Score
1st,LPNet,2020-07-23 3:56:38,0.297,0.75862,3.122
2nd,LPNet,2020-07-23 5:16:29,0.317,0.84128,3.04
3rd,LPNet,2020-07-17 8:26:39,0.314,0.7725,2.947
4th,LPNet,2020-07-21 5:18:34,0.296,0.69937,2.806
5th,LPNet,2020-07-16 22:21:33,0.316,0.7286,2.796
6th,LPNet,2020-07-10 3:18:04,0.359,0.83282,2.638
7th,LPNet,2020-07-07 9:13:46,0.367,0.83076,2.562
8th,LPNet,2020-07-09 4:26:09,0.371,0.82791,2.553
9th,LPNet,2020-07-21 4:54:25,0.311,0.68608,2.549
10th,LPNet,2020-07-13 7:21:08,0.359,0.79047,2.508
11th,LPNet,2020-07-06 8:19:43,0.418,0.76167,2.04
12th,LPNet,2020-07-06 9:35:08,0.48,0.84303,1.889
13th,VITA,2020-07-31 19:36:47,0.447,0.71229,1.693
14th,Subway,2020-07-30 23:14:10,0.363,0.55312,1.68
15th,VITA,2020-07-30 18:18:42,0.44,0.66716,1.592
16th,VITA,2020-07-30 23:42:46,0.383,0.48149,1.421
17th,VITA,2020-08-01 2:52:32,0.475,0.58803,1.371
18th,Subway,2020-08-01 6:18:22,0.463,0.52732,1.238
19th,Subway,2020-07-31 22:07:21,0.479,0.54692,1.236
20th,Subway,2020-07-31 23:08:05,0.491,0.55312,1.217
21st,LPNet,2020-07-03 10:00:20,0.689,0.75763,1.216
22nd,VITA,2020-07-27 4:03:17,0.603,0.68048,1.146
23rd,VITA,2020-07-24 5:51:02,0.604,0.68128,1.139
24th,VITA,2020-07-27 12:04:19,0.741,0.71831,1.022
25th,Subway,2020-07-08 2:30:10,0.524,0.47208,0.931
26th,Subway,2020-07-27 22:52:02,0.688,0.6229,0.925
27th,VITA,2020-07-22 4:34:17,0.631,0.52742,0.838
28th,SleepyFox,2020-07-31 9:09:37,0.454,0.33752,0.753
29th,alice,2020-07-02 9:06:45,0.702,0.46677,0.714
30th,SleepyFox,2020-07-30 2:10:06,0.532,0.37815,0.714
31st,SleepyFox,2020-07-31 2:18:14,0.533,0.37815,0.709
32nd,VITA,2020-07-25 3:08:58,0.74,0.49263,0.703
33rd,Subway,2020-07-02 11:51:39,0.588,0.33948,0.669
34th,Subway,2020-07-06 1:02:15,0.589,0.33948,0.668
35th,SleepyFox,2020-07-30 1:00:06,0.51,0.29607,0.632
36th,Subway,2020-07-14 3:04:40,0.335,0.18136,0.55
37th,jshen,2020-07-31 0:16:52,0.497,0.27551,0.549
38th,VITA,2020-07-11 0:48:12,0.685,0.31857,0.503
39th,Subway,2020-07-11 4:59:03,0.331,0.15896,0.481
40th,SleepyFox,2020-07-27 3:58:14,0.752,0.29142,0.374
41st,SleepyFox,2020-07-28 8:27:24,0.627,0.2286,0.361
42nd,VITA,2020-07-19 22:55:58,0.58,0.2021,0.353
43rd,VITA,2020-07-21 19:33:03,0.632,0.19147,0.333
44th,SleepyFox,2020-07-20 8:35:51,0.742,0.25778,0.31
45th,SleepyFox,2020-07-25 8:01:23,0.836,0.22385,0.278
46th,VITA,2020-07-17 5:11:24,0.741,0.20623,0.263
47th,SleepyFox,2020-07-08 3:02:59,0.587,0.11293,0.189
48th,VITA,2020-07-09 12:32:34,0.64,0.12458,0.187
49th,SleepyFox,2020-07-07 2:25:07,0.458,0.07238,0.149
50th,VITA,2020-07-16 5:00:00,0.784,0.08535,0.128
51st,SleepyFox,2020-07-18 5:52:58,0.801,0.02531,0.033
52nd,SleepyFox,2020-07-24 6:33:14,0.824,0.02531,0.03
53rd,SleepyFox,2020-07-14 10:59:44,0.706,0.00339,0.003
