Rank,Team,Organization,Team Members,Top Score
1st,ModelTC,Undisclosed,Undisclosed,75.608
2nd,ENOT,Undisclosed,Undisclosed,58.317
3rd,AidgetRock,Undisclosed,Undisclosed,36.792
4th,AICer,Undisclosed,Undisclosed,34.051
5th,CXK,Undisclosed,Undisclosed,33.765
6th,DL,Undisclosed,Undisclosed,31.043
7th,eslab,Undisclosed,Undisclosed,28.921
8th,SEU-AI,Undisclosed,Undisclosed,28.872
9th,台灣小孩,Undisclosed,Undisclosed,26.648
10th,ZXCDL,Undisclosed,Undisclosed,25.735
11th,qaqw,Undisclosed,Undisclosed,24.580
12th,LIedu,Undisclosed,Undisclosed,24.176
13th,ygyw,Undisclosed,Undisclosed,23.910
14th,hfsz,Undisclosed,Undisclosed,23.819
15th,fucl,Undisclosed,Undisclosed,23.272
16th,qaqq,Undisclosed,Undisclosed,23.076
17th,fucx,Undisclosed,Undisclosed,21.293
18th,gggg,Undisclosed,Undisclosed,14.908
19th,Hawk Eye,Undisclosed,Undisclosed,14.710
20th,IAI126,Undisclosed,Undisclosed,14.432
21st,test,Undisclosed,Undisclosed,12.366
22nd,goodluck,Undisclosed,Undisclosed,12.339
23rd,user46,Undisclosed,Undisclosed,11.606
24th,brian1009,Undisclosed,Undisclosed,11.595
25th,TUDS,Undisclosed,Undisclosed,10.003
26th,user35,Undisclosed,Undisclosed,9.729
27th,MMAI,Undisclosed,Undisclosed,9.520
28th,user71,Undisclosed,Undisclosed,8.961
29th,rr,Undisclosed,Undisclosed,8.817
30th,huhu,Undisclosed,Undisclosed,8.800
31st,user17,Undisclosed,Undisclosed,8.748
32nd,4m4m4m4m,Undisclosed,Undisclosed,8.629
33rd,user77,Undisclosed,Undisclosed,8.598
34th,huhu,Undisclosed,Undisclosed,8.584
35th,huhu,Undisclosed,Undisclosed,8.357
36th,user03,Undisclosed,Undisclosed,8.307
37th,huhu,Undisclosed,Undisclosed,8.303
38th,1m1m1m1,Undisclosed,Undisclosed,8.073
39th,2m2m2m,Undisclosed,Undisclosed,8.055
40th,shawn,Undisclosed,Undisclosed,7.808
41st,Smith,Undisclosed,Undisclosed,7.493
42nd,hy911,Undisclosed,Undisclosed,6.895
43rd,hy911,Undisclosed,Undisclosed,6.865
44th,MMAI,Undisclosed,Undisclosed,6.864
45th,IQG_SH,Undisclosed,Undisclosed,6.121
46th,SaltyFish,Undisclosed,Undisclosed,6.084
47th,test69696,Undisclosed,Undisclosed,6.010
48th,IQG,Undisclosed,Undisclosed,5.933
49th,abinabin,Undisclosed,Undisclosed,5.877
50th,g777,Undisclosed,Undisclosed,5.784
51st,g666,Undisclosed,Undisclosed,5.713
52nd,1234421,Undisclosed,Undisclosed,5.608
53rd,moka,Undisclosed,Undisclosed,5.467
54th,hani,Undisclosed,Undisclosed,5.360
55th,CARES,Undisclosed,Undisclosed,5.297
56th,sample,Undisclosed,Undisclosed,4.648
57th,mraanyone80,Undisclosed,Undisclosed,4.642
58th,NetsPresso,Undisclosed,Undisclosed,4.640
59th,NCKU_ACVLA,Undisclosed,Undisclosed,4.639
60th,PotatoNet,Undisclosed,Undisclosed,4.639
