Rank,Team,Date and Time,Time,Accuracy,Perfomance Score
1st,ModelTC,2023-08-03 9:16:28,0.007,0.51162,75.608
2nd,ModelTC,2023-08-04 13:02:09,0.007,0.50168,74.593
3rd,ModelTC,2023-08-04 13:04:58,0.007,0.50168,72.197
4th,ModelTC,2023-08-01 9:21:49,0.007,0.51332,70.485
5th,ModelTC,2023-08-03 12:47:57,0.007,0.51162,69.752
6th,ModelTC,2023-08-03 9:24:30,0.007,0.51162,69.376
7th,ModelTC,2023-08-04 13:04:05,0.007,0.50168,67.027
8th,ModelTC,2023-08-02 9:21:55,0.008,0.50175,66.89
9th,ModelTC,2023-08-01 9:06:45,0.008,0.51332,64.545
10th,ModelTC,2023-08-01 12:44:48,0.008,0.51332,64.028
11th,ModelTC,2023-08-02 9:06:56,0.008,0.50175,62.585
12th,ModelTC,2023-07-28 11:43:26,0.008,0.51251,62.557
13th,ModelTC,2023-08-02 12:46:26,0.008,0.50175,62.361
14th,ModelTC,2023-07-27 11:42:07,0.008,0.51105,62.005
15th,ENOT,2023-08-04 11:31:03,0.009,0.5089,58.317
16th,ModelTC,2023-07-26 11:41:57,0.009,0.51312,55.375
17th,ModelTC,2023-07-24 11:40:53,0.009,0.50905,54.389
18th,ModelTC,2023-07-22 11:23:02,0.011,0.50133,46.955
19th,ENOT,2023-08-02 0:09:28,0.012,0.5089,40.752
20th,ENOT,2023-07-30 13:11:04,0.013,0.5089,38.658
21st,AidgetRock,2023-08-02 23:19:59,0.015,0.55421,36.792
22nd,AidgetRock,2023-08-04 23:59:15,0.015,0.53972,36.77
23rd,ModelTC,2023-07-19 7:08:40,0.014,0.52721,36.6
24th,AidgetRock,2023-08-03 23:59:11,0.015,0.54505,36.584
25th,AidgetRock,2023-08-02 23:24:39,0.015,0.55421,36.572
26th,AidgetRock,2023-08-02 23:22:46,0.015,0.55421,36.391
27th,AidgetRock,2023-08-01 22:05:30,0.015,0.554,36.211
28th,AidgetRock,2023-08-03 23:27:50,0.015,0.5501,35.523
29th,AidgetRock,2023-08-01 4:00:28,0.015,0.54516,35.353
30th,AidgetRock,2023-07-24 7:51:26,0.016,0.54238,34.379
31st,AICer,2023-08-01 2:01:51,0.015,0.50234,34.051
32nd,CXK,2023-08-04 1:52:17,0.015,0.51663,33.765
33rd,AidgetRock,2023-07-23 6:50:41,0.016,0.55004,33.597
34th,AidgetRock,2023-07-30 23:04:07,0.017,0.5632,32.7
35th,AidgetRock,2023-08-03 23:39:17,0.017,0.5501,32.563
36th,AidgetRock,2023-07-25 9:23:48,0.016,0.53063,32.449
37th,DL,2023-07-31 6:52:17,0.016,0.51139,31.043
38th,AidgetRock,2023-07-27 12:01:24,0.018,0.5622,30.54
39th,eslab,2023-08-04 5:10:49,0.017,0.50601,28.921
40th,SEU-AI,2023-07-31 10:25:28,0.018,0.51138,28.872
41st,SEU-AI,2023-07-30 8:49:20,0.018,0.50308,28.498
42nd,SEU-AI,2023-07-29 8:42:52,0.018,0.51129,27.841
43rd,eslab,2023-07-22 10:54:36,0.019,0.50556,27.232
44th,台灣小孩,2023-07-18 7:37:23,0.019,0.50521,26.648
45th,ZXCDL,2023-08-01 2:16:51,0.02,0.50291,25.735
46th,eslab,2023-07-20 2:05:58,0.021,0.52138,25.369
47th,eslab,2023-07-21 9:57:11,0.02,0.50556,25.286
48th,ModelTC,2023-07-16 14:15:14,0.021,0.52642,24.866
49th,qaqw,2023-08-01 6:19:51,0.02,0.50291,24.58
50th,eslab,2023-08-03 9:24:43,0.021,0.50641,24.48
51st,LIedu,2023-08-01 2:23:37,0.021,0.50162,24.176
52nd,ygyw,2023-07-30 22:58:27,0.021,0.50291,23.91
53rd,hfsz,2023-07-31 2:00:13,0.022,0.51253,23.819
54th,AidgetRock,2023-08-04 23:45:23,0.024,0.57625,23.579
55th,AidgetRock,2023-07-26 12:00:57,0.025,0.57625,23.489
56th,fucl,2023-08-01 5:58:55,0.022,0.51657,23.272
57th,qaqq,2023-08-01 6:19:14,0.022,0.50291,23.076
58th,CXK,2023-08-01 2:40:48,0.023,0.51657,22.923
59th,fucx,2023-08-01 5:56:05,0.024,0.51657,21.293
60th,ENOT,2023-07-27 12:48:08,0.027,0.51749,19.327
61st,AidgetRock,2023-07-22 6:25:05,0.032,0.57294,18.023
62nd,ENOT,2023-07-28 13:03:12,0.03,0.53577,17.638
63rd,台灣小孩,2023-07-17 7:36:15,0.03,0.52717,17.525
64th,ModelTC,2023-07-15 14:07:41,0.031,0.53795,17.501
65th,AidgetRock,2023-08-04 23:28:18,0.039,0.60107,15.337
66th,AidgetRock,2023-07-20 6:57:33,0.04,0.59737,15.096
67th,gggg,2023-08-04 5:14:23,0.036,0.53738,14.908
