Rank,Team,Date and time,Time,Accuracy,Perfomance,Score,,,
1st,LaEspresso,2023-12-11,12:09:51,0,0.49434,2521.872,,,
2nd,hfsz,2023-07-11,9:53:43,0,0.29611,1600.586,,,
3rd,MMAI,2023-07-16,21:59:34,0,0.46662,989.718,,,
4th,user339,2023-07-16,22:49:12,0.001,0.49103,579.656,,,
5th,MMAI,2023-07-16,23:23:36,0.001,0.46732,551.351,,,
6th,ModelTC,2023-07-31,12:34:49,0.008,0.4989,63.975,,,
7th,ModelTC,2023-07-30,12:25:48,0.008,0.48764,63.125,,,
8th,ModelTC,2023-07-29,12:04:03,0.008,0.48629,62.522,,,
9th,ENOT,2023-08-04,10:58:55,0.008,0.47574,56.771,,,
10th,ModelTC,2023-07-25,11:41:16,0.009,0.49668,53.731,,,
11th,ModelTC,2023-07-23,11:24:00,0.009,0.49088,52.179,,,
12th,ModelTC,2023-07-21,11:00:15,0.011,0.4996,46.257,,,
13th,ModelTC,2023-07-20,7:13:47,0.011,0.49756,45.561,,,
14th,台灣小孩,2023-08-04,23:58:37,0.011,0.48717,42.565,,,
15th,ENOT,2023-08-02,1:04:01,0.011,0.47825,41.705,,,
16th,SEU-AI,2023-08-01,9:06:19,0.012,0.49264,40.904,,,
17th,AI2023,2023-08-02,0:32:17,0.012,0.48136,40.401,,,
18th,AI2023,2023-08-03,7:55:31,0.012,0.48066,40.162,,,
19th,AI2023,2023-08-01,12:12:05,0.012,0.4861,39.721,,,
20th,DL,2023-08-02,20:59:08,0.012,0.48129,39.1,,,
21st,IAI126,2023-08-02,20:50:35,0.012,0.48129,38.781,,,
22nd,LIedu,2023-08-02,20:27:21,0.013,0.48129,38.14,,,
23rd,gggg,2023-08-02,2:52:32,0.013,0.46626,35.971,,,
24th,g666,2023-08-01,6:05:41,0.014,0.47522,34.694,,,
25th,alll,2023-07-10,10:25:20,0,0.01238,34.489,,,
26th,ENOT,2023-08-03,10:51:43,0.014,0.48722,34.137,,,
27th,goodluck2,2023-08-01,10:40:16,0.015,0.47271,32.161,,,
28th,台灣小孩,2023-07-19,8:35:39,0.012,0.39232,31.615,,,
29th,eastmoon,2023-08-01,21:48:51,0.015,0.47317,30.987,,,
30th,IAI126,2023-07-27,3:36:48,0.016,0.49109,30.915,,,
31st,ModelTC,2023-07-17,14:16:48,0.016,0.49726,30.725,,,
32nd,user46,2023-07-18,4:40:49,0.015,0.4677,30.522,,,
33rd,user35,2023-08-03,9:13:43,0.013,0.38229,30.29,,,
34th,kosaki,2023-08-03,2:43:34,0.013,0.39681,29.933,,,
35th,fuce,2023-08-01,5:22:38,0.015,0.46253,29.898,,,
36th,ENOT,2023-07-29,13:05:57,0.015,0.45458,29.83,,,
37th,user35,2023-08-02,9:09:19,0.013,0.39138,29.699,,,
38th,ZXCDL,2023-08-02,23:14:15,0.016,0.46802,29.675,,,
39th,sb,2023-08-02,22:15:31,0.017,0.48908,29.506,,,
40th,sb,2023-08-01,23:05:50,0.017,0.49137,29.426,,,
41st,SEU-AI,2023-08-02,6:15:49,0.017,0.48147,29.06,,,
42nd,NCKU_ACVLA,2023-08-02,11:35:26,0.012,0.33252,28.817,,,
43rd,wodehaoge,2023-08-04,8:18:43,0.015,0.43551,28.743,,,
44th,wodehaoge,2023-08-04,8:33:36,0.015,0.43022,28.643,,,
45th,ZXCDL,2023-08-03,22:29:50,0.016,0.47056,28.633,,,
46th,NCKU_ACVLA,2023-08-04,4:14:54,0.012,0.33915,28.63,,,
47th,user35,2023-08-04,23:54:22,0.016,0.45249,28.546,,,
48th,AI2023,2023-08-01,6:24:07,0.017,0.49713,28.518,,,
49th,NCKU_ACVLA,2023-08-02,12:28:52,0.011,0.32439,28.341,,,
50th,wodehaoge,2023-08-03,12:14:56,0.015,0.42775,28.323,,,
51st,eastmoon,2023-08-01,22:34:48,0.017,0.49137,28.281,,,
52nd,goodluck,2023-08-01,10:22:24,0.017,0.4742,28.146,,,
53rd,sb,2023-08-03,21:14:14,0.017,0.48315,27.892,,,
54th,user35,2023-08-01,9:08:57,0.014,0.37767,27.17,,,
55th,sb,2023-08-02,22:40:57,0.017,0.46616,27.154,,,
56th,AI2023,2023-08-03,23:55:16,0.018,0.49291,27.154,,,
57th,user35,2023-08-01,10:37:46,0.013,0.34787,27.022,,,
58th,user35,2023-07-31,5:58:48,0.013,0.34818,27.004,,,
59th,xiaohao1,2023-08-03,4:10:14,0.018,0.46595,26.559,,,
60th,alll,2023-07-17,6:15:40,0.001,0.0287,26.295,,,
61st,xiaohao1,2023-08-03,8:33:02,0.018,0.46144,26.128,,,
62nd,goodluck,2023-07-30,23:27:35,0.019,0.48274,25.763,,,
63rd,fucq,2023-08-01,4:48:33,0.018,0.46253,25.734,,,
64th,eastmoon,2023-08-02,22:00:08,0.016,0.39633,25.491,,,
65th,huhu,2023-07-31,0:26:52,0.015,0.3669,25.114,,,
66th,SEU-AI,2023-08-02,23:03:11,0.02,0.49576,24.801,,,
67th,xiaohao1,2023-08-03,4:39:38,0.02,0.50002,24.55,,,
68th,alll,2023-07-02,9:02:53,0.001,0.02294,24.108,,,
69th,huhu,2023-07-30,8:53:10,0.016,0.37648,24.018,,,
70th,user35,2023-08-02,8:38:57,0.016,0.37767,23.893,,,
71st,ENOT,2023-07-31,13:42:37,0.019,0.4551,23.751,,,
72nd,abinabin,2023-07-31,1:41:46,0.021,0.48761,23.608,,,
73rd,user46,2023-07-19,7:47:54,0.019,0.43971,23.581,,,
74th,eastmoon,2023-08-02,21:44:20,0.016,0.37124,22.985,,,
75th,NCKU_ACVLA,2023-08-03,14:37:25,0.014,0.30771,22.793,,,
76th,huhu,2023-07-30,10:11:50,0.016,0.37074,22.648,,,
77th,NCKU_ACVLA,2023-08-03,16:44:11,0.014,0.30906,22.574,,,
78th,eslab,2023-07-14,10:40:05,0.022,0.48967,22.28,,,
79th,bugger7,2023-07-31,0:14:30,0.017,0.36693,22.037,,,
80th,wodehaoge,2023-07-31,21:40:59,0.021,0.43526,21.01,,,
81st,NCKU_ACVLA,2023-07-31,3:44:10,0.018,0.35687,20.366,,,
82nd,Hawk,Eye,2023-07-27,13:10:43,0.022,0.44565,20.247,,
83rd,NCKU_ACVLA,2023-07-28,16:35:23,0.021,0.40906,19.928,,,
84th,Hawk,Eye,2023-07-23,10:26:42,0.023,0.46384,19.771,,
85th,NCKU_ACVLA,2023-07-30,1:25:49,0.018,0.34575,19.616,,,
86th,sb,2023-07-31,21:16:23,0.025,0.4739,19.09,,,
